valid_from,valid_to,ally_name,min_requested_amount,max_requested_amount,origination_mdf,cancellation_mdf,fraud_mdf,last_config,Same for clients?,Check,,MDF change,New Origination MDF,New Cancellation MDF,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,airobag-online,$0,"$20,000,001.00",0.00%,1.75%,1.75%,03/16/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
,,alavista-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,04/20/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alavistaco-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,04/20/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alaybycyh-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,28/06/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,alaybycyh-engativa-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/02/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alaybycyh-unicentro-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/02/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alca-ecommerce,$0,"$20,000,001.00",4.00%,2.00%,2.00%,12/31/2021,Yes,0,,No,4.00%,2.00%,,,,,,,,,,,,,,,
,,alca-online,$0,"$20,000,001.00",4.00%,2.00%,2.00%,2021-05-13 18:11:48,Yes,0,,No,4.00%,2.00%,,,,,,,,,,,,,,,
,,alelihomedecore-online,$0,"$20,000,001.00",0.00%,0.00%,0.00%,2021-05-13 18:11:48,Yes,0,,No,0.00%,0.00%,,,,,,,,,,,,,,,
,,alessandrobyetherioums-online,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/17/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,alexmovil-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,11/24/2021,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,alfa-ecommerce,$0,"$20,000,001.00",2.40%,1.20%,1.20%,12/18/2021,Yes,0,,No,2.40%,1.20%,,,,,,,,,,,,,,,
,,alfa-virtual-online,$0,"$20,000,001.00",2.40%,1.20%,1.20%,05/16/2022,Yes,0,,No,2.40%,1.20%,,,,,,,,,,,,,,,
,,alfalegacy-ecommerce,$0,"$20,000,001.00",0.00%,2.45%,2.45%,02/02/2022,Yes,0,,No,0.00%,2.45%,,,,,,,,,,,,,,,
,,alfalegacy-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/02/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alfred-vs-online,$0,"$20,000,001.00",0.00%,1.80%,1.80%,12/09/2021,Yes,0,,No,0.00%,1.80%,,,,,,,,,,,,,,,
,,aline-online,$0,"$20,000,001.00",0.00%,1.50%,1.50%,2021-05-13 18:11:48,Yes,0,,No,0.00%,1.50%,,,,,,,,,,,,,,,
,,alismor-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/23/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alma-ecommerce,$0,"$20,000,001.00",0.00%,2.45%,2.45%,12/31/2021,Yes,0,,No,0.00%,2.45%,,,,,,,,,,,,,,,
,,alltickets-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,08/11/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,almacenao,$0,"$20,000,001.00",4.00%,0.00%,0.00%,2021-05-14 08:03:32,Yes,0,,No,4.00%,0.00%,,,,,,,,,,,,,,,
,,almacenbc,$0,"$20,000,001.00",2.00%,0.00%,0.00%,2021-05-14 08:03:32,Yes,0,,No,2.00%,0.00%,,,,,,,,,,,,,,,
,,almacenciclomartinez-ecommerce,$0,"$20,000,001.00",0.00%,2.15%,2.15%,11/05/2021,Yes,0,,No,0.00%,2.15%,,,,,,,,,,,,,,,
,,almacenciclomartinez-online,$0,"$20,000,001.00",4.30%,2.15%,2.15%,11/05/2021,Yes,0,,No,4.30%,2.15%,,,,,,,,,,,,,,,
,,almacenciclopartes-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/28/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almaceneldeportista-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almaceneldeportista-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almaceneltenista-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/17/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacenesbybla-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,08/03/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,almacenesbybla-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,08/03/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,almaceneselcampesino,$0,"$20,000,001.00",5.00%,5.00%,5.00%,2021-05-14 08:03:32,Yes,0,,No,5.00%,5.00%,,,,,,,,,,,,,,,
,,almaceneslindohogar-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,28/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacenesminiprecios-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/20/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacengranandino-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,08/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacenhangar-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,28/06/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,almacenjym-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/02/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacenlamontana-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,03/07/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,almacenlamontana-online,$0,"$20,000,001.00",5.80%,2.90%,2.90%,01/28/2022,Yes,0,,No,5.80%,2.90%,,,,,,,,,,,,,,,
,,almacenmau-ecommerce,$0,"$20,000,001.00",4.90%,2.45%,2.45%,01/06/2022,Yes,0,,No,4.90%,2.45%,,,,,,,,,,,,,,,
,,almacenmau-online,$0,"$20,000,001.00",4.50%,2.25%,2.25%,02/24/2022,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,almacenminipreciossincelejo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,08/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,almacenoaxis-online,$0,"$20,000,001.00",4.99%,2.50%,2.50%,11/05/2021,Yes,0,,No,4.99%,2.50%,,,,,,,,,,,,,,,
,,almacenparis,$0,"$20,000,001.00",1.80%,1.80%,1.80%,2021-05-14 08:03:32,Yes,0,,No,1.80%,1.80%,,,,,,,,,,,,,,,
,,almacenparis-online,$0,"$20,000,001.00",3.00%,1.50%,1.50%,NA,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,almacenparisbarranquilla,$0,"$20,000,001.00",1.80%,1.80%,1.80%,2021-05-14 08:03:32,Yes,0,,No,1.80%,1.80%,,,,,,,,,,,,,,,
,,alma-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,alored-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,2021-07-08 17:37:03,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,alotstudio-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,almacenesnavarroospina-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,08/11/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,altagracia-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,almostvirginmambe-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,altycom-online,$0,"$20,000,001.00",3.20%,1.60%,1.60%,2021-05-13 17:55:00,Yes,0,,No,3.20%,1.60%,,,,,,,,,,,,,,,
,,alunashoes-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,03/14/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,alunashoes-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,03/14/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,amasaceramica-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,alotstudio-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,ambarmoda-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,ambarmoda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,ambiente-g-ecommerce,$0,"$20,000,001.00",3.00%,1.50%,1.50%,2021-07-01 06:54:34,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,ambiente-g-online,$0,"$20,000,001.00",3.00%,1.50%,1.50%,2021-05-28 15:51:22,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,americanadecolchones-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,2021-07-06 14:30:27,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,americanmotos-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,03/14/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,americanmotos-online,$0,"$20,000,001.00",5.50%,2.75%,2.75%,03/14/2022,Yes,0,,No,5.50%,2.75%,,,,,,,,,,,,,,,
,,americanshoes-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/25/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,americanshoes-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/25/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,americantime-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/11/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,amezquita-vecommerce,$0,"$20,000,001.00",3.90%,1.95%,1.95%,02/02/2022,Yes,0,,No,3.90%,1.95%,,,,,,,,,,,,,,,
,,altagracia-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,amlcomercializadora-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/11/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,amlcomercializadora-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/11/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,amobladorapuntodeko-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,03/16/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,amoblando-ecommerce,$0,"$20,000,001.00",4.50%,2.25%,2.25%,2021-07-01 08:10:45,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,amoblandohogares-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,01/25/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,amoblarmueblesyelectrodomesticos-ecommerce,$0,"$20,000,001.00",3.90%,1.95%,1.95%,02/02/2022,Yes,0,,No,3.90%,1.95%,,,,,,,,,,,,,,,
,,amoblarmueblesyelectrodomesticos-online,$0,"$20,000,001.00",3.90%,1.95%,1.95%,02/02/2022,Yes,0,,No,3.90%,1.95%,,,,,,,,,,,,,,,
,,amodomio-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,amasaceramica-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,amordemisamores-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/04/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,amordulceamor-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,13/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,anahatastetic-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,03/28/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,andreasaieh-ecommerce,$0,"$20,000,001.00",0.00%,2.45%,2.45%,02/02/2022,Yes,0,,No,0.00%,2.45%,,,,,,,,,,,,,,,
,,amezquita-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,andreaurena,$0,"$20,000,001.00",3.50%,0.00%,0.00%,2021-05-14 08:03:32,Yes,0,,No,3.50%,0.00%,,,,,,,,,,,,,,,
,,andrescoral-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,amodomio-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,animalista-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,2021-05-13 18:11:48,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,animalista-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,2021-05-13 18:11:48,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,antofiamos-online,$0,"$20,000,001.00",4.00%,2.00%,2.00%,2021-05-24 17:29:14,Yes,0,,No,4.00%,2.00%,,,,,,,,,,,,,,,
,,antojoscom-online,$0,"$20,000,001.00",4.50%,2.25%,2.25%,,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,antorchabikes-online,$0,"$20,000,001.00",0.00%,1.75%,1.75%,05/13/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
,,aquamanile-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,andreasaieh-vs-online,$0,"$20,000,001.00",0.00%,1.80%,1.80%,12/09/2021,Yes,0,,No,0.00%,1.80%,,,,,,,,,,,,,,,
,,aquitaco-ecommerce,$0,"$20,000,001.00",4.20%,2.10%,2.10%,2021-05-13 18:11:48,Yes,0,,No,4.20%,2.10%,,,,,,,,,,,,,,,
,,aquitaco-online,$0,"$20,000,001.00",4.20%,2.10%,2.10%,2021-05-13 18:11:48,Yes,0,,No,4.20%,2.10%,,,,,,,,,,,,,,,
,,aranea-ecommerce,$0,"$20,000,001.00",0.00%,2.45%,2.45%,02/02/2022,Yes,0,,No,0.00%,2.45%,,,,,,,,,,,,,,,
,,andrescoral-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,ardecodisenos-ecommerce,$0,"$20,000,001.00",0.00%,2.50%,2.50%,03/14/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,ardecodisenos-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,03/14/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,ardecodiseños-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,11/05/2021,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,ardysslifecolombia-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,04/27/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,arenafashion-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/04/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,argujoyas-online,$0,"$20,000,001.00",6.50%,3.25%,0.00%,07/06/2023,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,arle-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,03/07/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,armatura-ecommerce,$0,"$20,000,001.00",4.00%,2.00%,2.00%,12/31/2021,Yes,0,,No,4.00%,2.00%,,,,,,,,,,,,,,,
,,armatuvaca-ecommerce,$0,"$20,000,001.00",3.00%,1.50%,1.50%,02/17/2022,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,armeniahogar-online,$0,"$20,000,001.00",5.80%,2.90%,2.90%,02/21/2022,Yes,0,,No,5.80%,2.90%,,,,,,,,,,,,,,,
,,armonia-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/17/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,armonia-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/17/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,arsabike-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,arturocalle-ecommerce,$0,"$20,000,001.00",1.80%,0.90%,0.75%,2021-08-18 08:48:04,Yes,0,,No,1.80%,0.90%,,,,,,,,,,,,,,,
,,arturocalle-online,$0,"$20,000,001.00",1.80%,0.90%,0.90%,2021-08-18 08:48:04,Yes,0,,No,1.80%,0.90%,,,,,,,,,,,,,,,
,,arturocallepos-online,$0,"$20,000,001.00",1.80%,0.90%,0.75%,01/25/2022,Yes,0,,No,1.80%,0.90%,,,,,,,,,,,,,,,
,,arturocallesignatura-online,$0,"$20,000,001.00",1.50%,0.75%,0.75%,01/25/2022,Yes,0,,No,1.50%,0.75%,,,,,,,,,,,,,,,
,,arzenalsas-ecommerce,$0,"$20,000,001.00",3.90%,1.80%,1.80%,01/21/2022,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,asadoreselbarril-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,20/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,asadoreselbarril-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,20/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,aseguralo-ecommerce,$0,"$20,000,001.00",3.50%,1.75%,1.75%,06/06/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,aseguralo-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/27/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,asfingenieriaysuministros-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,04/04/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,asisautos-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/13/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,assisgo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,11/29/2021,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,atavioartesano-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/14/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,attikaklozet-ecommerce,$0,"$20,000,001.00",4.30%,2.15%,2.15%,08/04/2022,Yes,0,,No,4.30%,2.15%,,,,,,,,,,,,,,,
,,attikaklozet-online,$0,"$20,000,001.00",4.30%,2.15%,2.15%,08/04/2022,Yes,0,,No,4.30%,2.15%,,,,,,,,,,,,,,,
,,atupiel-online,$0,"$20,000,001.00",0.00%,1.75%,1.75%,01/06/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
,,audiocom,$0,"$20,000,001.00",2.75%,0.00%,0.00%,2021-05-14 08:03:32,Yes,0,,No,2.75%,0.00%,,,,,,,,,,,,,,,
,,audiocom-online,$0,"$20,000,001.00",2.80%,1.40%,1.40%,2021-05-28 15:51:22,Yes,0,,No,2.80%,1.40%,,,,,,,,,,,,,,,
,,audiotienda-online,$0,"$20,000,001.00",4.50%,2.25%,2.25%,2021-05-13 18:11:48,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,auladeingles-online,$0,"$20,000,001.00",5.00%,2.50%,1.90%,2021-06-01 10:45:21,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,aureumjoyeria-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,autecomobility-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,2021-07-08 17:43:50,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,autocol-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,12/09/2021,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,autolab-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,06/06/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,autolarte-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,04/06/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,autoquick-online,$0,"$20,000,001.00",0.00%,1.75%,1.75%,03/02/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
